alias	alias_group	source
on left wearing a	on left wearing	visual_genome_relationship_alias
stirring in	stirring in	visual_genome_relationship_alias
stirring in a	stirring in	visual_genome_relationship_alias
dangling above	dangling above	visual_genome_relationship_alias
are dangling above a	dangling above	visual_genome_relationship_alias
growing in	growing in	visual_genome_relationship_alias
growing in a	growing in	visual_genome_relationship_alias
are growing in a	growing in	visual_genome_relationship_alias
are growing in	growing in	visual_genome_relationship_alias
that in	that in	visual_genome_relationship_alias
that in a	that in	visual_genome_relationship_alias
sheep	sheep	visual_genome_relationship_alias
sheep are	sheep	visual_genome_relationship_alias
on side of	on side of	visual_genome_relationship_alias
on side of a	on side of	visual_genome_relationship_alias
are on side of	on side of	visual_genome_relationship_alias
are on side of a	on side of	visual_genome_relationship_alias
on side of an	on side of	visual_genome_relationship_alias
is on side of	on side of	visual_genome_relationship_alias
on with	on with	visual_genome_relationship_alias
are on with	on with	visual_genome_relationship_alias
falling off	falling off	visual_genome_relationship_alias
falling off a	falling off	visual_genome_relationship_alias
dog wearing	dog wearing	visual_genome_relationship_alias
dog wearing a	dog wearing	visual_genome_relationship_alias
windows here that	windows here that	visual_genome_relationship_alias
are windows here that are	windows here that	visual_genome_relationship_alias
crashing down in	crashing down in	visual_genome_relationship_alias
crashing down in a	crashing down in	visual_genome_relationship_alias
encased in	encased in	visual_genome_relationship_alias
encased in a	encased in	visual_genome_relationship_alias
cooking in	cooking in	visual_genome_relationship_alias
are cooking in	cooking in	visual_genome_relationship_alias
cooking in a	cooking in	visual_genome_relationship_alias
cooking in an	cooking in	visual_genome_relationship_alias
display in	display in	visual_genome_relationship_alias
display in a	display in	visual_genome_relationship_alias
tusks	tusks	visual_genome_relationship_alias
tusks are	tusks	visual_genome_relationship_alias
tusks are a	tusks	visual_genome_relationship_alias
wall of	wall of	visual_genome_relationship_alias
wall of a	wall of	visual_genome_relationship_alias
stacked in	stacked in	visual_genome_relationship_alias
stacked in a	stacked in	visual_genome_relationship_alias
are stacked in	stacked in	visual_genome_relationship_alias
are stacked in a	stacked in	visual_genome_relationship_alias
flying in	flying in	visual_genome_relationship_alias
are flying in	flying in	visual_genome_relationship_alias
flying in a	flying in	visual_genome_relationship_alias
are flying in a	flying in	visual_genome_relationship_alias
flying in the	flying in	visual_genome_relationship_alias
stuffed	stuffed	visual_genome_relationship_alias
are stuffed	stuffed	visual_genome_relationship_alias
to left of	to left of	visual_genome_relationship_alias
are to left of	to left of	visual_genome_relationship_alias
to left of a	to left of	visual_genome_relationship_alias
are to left of a	to left of	visual_genome_relationship_alias
to left of an	to left of	visual_genome_relationship_alias
and extra cheese	and extra cheese	visual_genome_relationship_alias
and extra cheese are	and extra cheese	visual_genome_relationship_alias
white	white	visual_genome_relationship_alias
are white	white	visual_genome_relationship_alias
a white	white	visual_genome_relationship_alias
an white	white	visual_genome_relationship_alias
advertisement on	advertisement on	visual_genome_relationship_alias
advertisement on a	advertisement on	visual_genome_relationship_alias
gives	gives	visual_genome_relationship_alias
gives a	gives	visual_genome_relationship_alias
dangling from	dangling from	visual_genome_relationship_alias
dangling from a	dangling from	visual_genome_relationship_alias
eyes	eyes	visual_genome_relationship_alias
eyes are	eyes	visual_genome_relationship_alias
placed around	placed around	visual_genome_relationship_alias
are placed around	placed around	visual_genome_relationship_alias
mostly	mostly	visual_genome_relationship_alias
are mostly	mostly	visual_genome_relationship_alias
that	that	visual_genome_relationship_alias
that are	that	visual_genome_relationship_alias
that a	that	visual_genome_relationship_alias
that is	that	visual_genome_relationship_alias
plate on	plate on	visual_genome_relationship_alias
plate on a	plate on	visual_genome_relationship_alias
on	on	visual_genome_relationship_alias
on the	on	visual_genome_relationship_alias
on a	on	visual_genome_relationship_alias
towind	towind	visual_genome_relationship_alias
towind a	towind	visual_genome_relationship_alias
curved archway with	curved archway with	visual_genome_relationship_alias
curved archway with a	curved archway with	visual_genome_relationship_alias
on different levels in	on different levels in	visual_genome_relationship_alias
on different levels in a	on different levels in	visual_genome_relationship_alias
shows mouth of	shows mouth of	visual_genome_relationship_alias
shows mouth of a	shows mouth of	visual_genome_relationship_alias
curtain cover	curtain cover	visual_genome_relationship_alias
curtain cover a	curtain cover	visual_genome_relationship_alias
big rock inside	big rock inside	visual_genome_relationship_alias
a big rock inside	big rock inside	visual_genome_relationship_alias
in background behind	in background behind	visual_genome_relationship_alias
in background behind a	in background behind	visual_genome_relationship_alias
tile in	tile in	visual_genome_relationship_alias
tile in a	tile in	visual_genome_relationship_alias
written in chocolate on	written in chocolate on	visual_genome_relationship_alias
written in chocolate on a	written in chocolate on	visual_genome_relationship_alias
reflecting in	reflecting in	visual_genome_relationship_alias
are reflecting in	reflecting in	visual_genome_relationship_alias
wall has	wall has	visual_genome_relationship_alias
wall has a	wall has	visual_genome_relationship_alias
set out on	set out on	visual_genome_relationship_alias
set out on a	set out on	visual_genome_relationship_alias
part of silver	part of silver	visual_genome_relationship_alias
are part of silver	part of silver	visual_genome_relationship_alias
in a can on	in a can on	visual_genome_relationship_alias
in a can on a	in a can on	visual_genome_relationship_alias
ordering food at	ordering food at	visual_genome_relationship_alias
ordering food at a	ordering food at	visual_genome_relationship_alias
sleep on	sleep on	visual_genome_relationship_alias
sleep on a	sleep on	visual_genome_relationship_alias
arranged in	arranged in	visual_genome_relationship_alias
are arranged in	arranged in	visual_genome_relationship_alias
arranged in a	arranged in	visual_genome_relationship_alias
each wear	each wear	visual_genome_relationship_alias
each wear a	each wear	visual_genome_relationship_alias
sit at	sit at	visual_genome_relationship_alias
sit at a	sit at	visual_genome_relationship_alias
close to a ski	close to a ski	visual_genome_relationship_alias
are close to a ski	close to a ski	visual_genome_relationship_alias
growing on top of	growing on top of	visual_genome_relationship_alias
growing on top of a	growing on top of	visual_genome_relationship_alias
felling out of	felling out of	visual_genome_relationship_alias
are felling out of	felling out of	visual_genome_relationship_alias
in face of	in face of	visual_genome_relationship_alias
are in face of	in face of	visual_genome_relationship_alias
kneeling down on	kneeling down on	visual_genome_relationship_alias
kneeling down on a	kneeling down on	visual_genome_relationship_alias
and holding	and holding	visual_genome_relationship_alias
and holding a	and holding	visual_genome_relationship_alias
or buggy to be pulled by	or buggy to be pulled by	visual_genome_relationship_alias
or buggy to be pulled by a	or buggy to be pulled by	visual_genome_relationship_alias
set of two on	set of two on	visual_genome_relationship_alias
are set of two on	set of two on	visual_genome_relationship_alias
jumping near	jumping near	visual_genome_relationship_alias
jumping near a	jumping near	visual_genome_relationship_alias
nailed to	nailed to	visual_genome_relationship_alias
nailed to a	nailed to	visual_genome_relationship_alias
and	and	visual_genome_relationship_alias
and a	and	visual_genome_relationship_alias
and an	and	visual_genome_relationship_alias
passing above	passing above	visual_genome_relationship_alias
are passing above	passing above	visual_genome_relationship_alias
is passing above the	passing above	visual_genome_relationship_alias
on dogs	on dogs	visual_genome_relationship_alias
are on dogs	on dogs	visual_genome_relationship_alias
poking from under	poking from under	visual_genome_relationship_alias
