term	count	synsets	alias_group
white with	9	be.v.01|whiten.v.01	
collar	9	be.v.01|collar.v.01	
talking to a	9	talk.v.01	talking to
handing	9	pass.v.05	handing
are boarding	9	be.v.01	boarding
wearing a grey	9	be.v.01|wear.v.01	
speaking to	9	be.v.01|talk.v.01	
wearing a gray	9	wear.v.01	
leaf on a	9		leaf on
walks across	9	walk.v.01	
bottle on	9	along.r.01	
though	9	be.v.01|though.r.01	
person sitting	9		
taking off from	9	be.v.01|necessitate.v.01	taking off from
wearing khaki	9	be.v.01|wear.v.01	
holding ski	9	have.v.01	
has light	9	have.v.01	
shorter than	9	be.v.01	
are waiting for	9	be.v.01	waiting for
cluttered with	9	be.v.01	cluttered with
built over	9	construct.v.01	built over
docked by	9	by.r.01	
protected by	9	be.v.01|protect.v.01	
walking on side of	9	walk.v.01	
shorts	9	short-change.v.01	shorts
are pulling	9	be.v.01	pulling
sits above	9	sit.v.01	
has lots of	9	have.v.01	
flowing near	9	about.r.07|be.v.01	
reflection of	9		
on inside	9	along.r.01|be.v.01	
skiing at	9	be.v.01	
lower	9	be.v.01|lower.v.01	
driven by	9	be.v.01|drive.v.01	
has pointed	9	have.v.01	
shaking a	9	be.v.01	shaking
parked next	9	park.v.01	
on a train	9	along.r.01	
over looking	9	look.v.02	
slightly	9	be.v.01|slightly.r.01	
encasing	9	encase.v.01	
pulled into	9	pull.v.01	
cap	9	be.v.01|cap.v.01	
flag	9	sag.v.01	
thrown	9	hold.v.03	thrown
connect	9	associate.v.01	
kick	9	complain.v.01	
lays	9	put.v.01	lays
jacket on	9	along.r.01	
attached by	9	attach.v.01|be.v.01	attached by
doesnt have	9	have.v.01	
going to hit	9	be.v.01|become.v.01	
emitting from	9	be.v.01|utter.v.02	
gripping a	9	be.v.01|grip.v.01	gripping
has multiple	9	have.v.01	
snowboarding	9		snowboarding
swings at	9	swing.v.01	
gas	9	boast.v.01	
public	9		
cows	9		
silhouetted against	9	silhouette.v.02	
read	9	read.v.01	
upside	9		
touching h	9	be.v.01|refer.v.02	
adjusts	9	adjust.v.01	adjusts
used to hold	9	have.v.01	
name on	9	be.v.01|name.v.01	
bigger than	9	be.v.01	
surfboarding on	9	along.r.01|be.v.01	
pulling up	9	be.v.01|up.r.01	
on cats	9	along.r.01	on cats
has black and white	9	have.v.01	
on face	9	confront.v.02	on face
reflect on	9	along.r.01	
has a green	9	have.v.01	
batting	9	be.v.01|cream.v.02	
food	9		
wears white	9	wear.v.01	
with yellow	9	yellow.v.01	
used to	9	be.v.01|use.v.01	
extended from	9	run.v.03	
pointed toward	9	be.v.01|indicate.v.02	
propped up against	9	up.r.01	
sports	9	sport.v.01	sports
leans over	9	tend.v.01	
learning to	9	learn.v.02	learning to
sideways	9	sideways.r.03	
bottom	9	be.v.01|penetrate.v.02	
squinting	9	squint.v.01	
side by side	9	by.r.01	
are tied to	9	be.v.01	tied to
seen in front of	9	be.v.01|see.v.01	
and cheese on	9	along.r.01	
appears to be	9	be.v.01	appears to be
has one	9	have.v.01	
other side of	9		
held over	9	have.v.01	
seated on a	9	be.v.01	seated on
helping with	9	be.v.01|help.v.01	
hangs out of	9	hang.v.01	
glued on	9	along.r.01	
together in	9	together.r.01	together in
smells	9	smell.v.01	
preparing to eat	9	be.v.01|eat.v.01	
practicing	9	practice.v.01	
not looking at	9	not.r.01	
heading toward	9	be.v.01|head.v.02	heading toward
present in	9	show.v.01	present in
has closed	9	have.v.01	
on guys	9	along.r.01	
jumps on	9	along.r.01	
apartment	9		
traveling by	9	travel.v.01	
red on	9	along.r.01|be.v.01	red on
closes	9	close.v.01	
if	9		if
curled up on	9	up.r.01	
pf	9		
goes up	9	become.v.01	
are hanging in	9	be.v.01	hanging in
swishing	9	lap.v.03	
ready to throw	9	hold.v.03	ready to throw
having fun in	9	be.v.01|have.v.01	having fun in
waxing	9	be.v.01|wax.v.02	
lying by	9	lie.v.01	
on top level of	9	along.r.01	
windsurfing in	9	be.v.01|in.r.01	windsurfing in
galloping on	9	along.r.01|be.v.01	
spraying on	9	along.r.01|be.v.01	
of ten	9		
sleeping next to	9	be.v.01|sleep.v.01	
reaching for a	9	achieve.v.01|be.v.01	reaching for
etched on	9	along.r.01	
are standing in a	9	be.v.01	standing in
are sharing	9	be.v.01	sharing
bears	9	hold.v.11	bears
bringing	9	be.v.01|bring.v.01	
are three	9		three
fastened by a	9	be.v.01	fastened by
alone in	9	be.v.01|entirely.r.02	
on face of a	9	confront.v.02	on face of
leaning out	9	be.v.01|tend.v.01	
on bank of	9	along.r.01|be.v.01	
crouched in	9	crouch.v.01	
in boys	9	in.r.01	
being herded by	9	be.v.01	
illuminated on	9	along.r.01	
of another	9		
in their	9	in.r.01	in their
being worn by a	9	be.v.01	being worn by
wii	9		wii
dead	9	abruptly.r.01	dead
down in	9	be.v.01|down.r.01	
jumping from	9	jump.v.01	
eating by	9	eat.v.01	
enjoying a	9	be.v.01|enjoy.v.01	enjoying
in child	9	be.v.01|in.r.01	
home	9	home.r.01	home
falling off of	9	away.r.01|be.v.01	falling off of
splashes	9	sprinkle.v.02	
intersecting	9	intersect.v.01	
wheels are	9	be.v.01	wheels
petting a	9	be.v.01|pet.v.01	petting
smothered in	9	in.r.01	
splattered on	9	along.r.01	
for rain	9	rain.v.01	
crashing to	9	crash.v.01	
fighting for	9	contend.v.06	
hitting with	9	be.v.01|reach.v.01	
rolling down	9	be.v.01|down.r.01	
poking	9	jab.v.01	
pressed against	9	be.v.01|urge.v.01	pressed against
ride in	9	depend_on.v.01	
birds on	9	along.r.01	
speaking into	9	be.v.01|talk.v.01	speaking into
of moutains covered in	9		
circling	9	circle.v.01	
from top of	9	exceed.v.02	
sharpening	9	be.v.01	
flying towards	9	be.v.01|fly.v.01	
woven	9	weave.v.04	
playing tennis with	9	play.v.01	
in dogs	9	be.v.01|chase.v.01	
herded by	9	by.r.01	
jet	9	jet.v.01	
pecking at	9	be.v.01|peck.v.01	
nursing from	9	harbor.v.01	
squatting in	9	in.r.01	
sprayed on	9	along.r.01	
are on top	9	be.v.01	on top
jumping on a	9	along.r.01|be.v.01	jumping on
leaves of	9	leave.v.01	
at center of	9	be.v.01|focus_on.v.01	
caring for	9	be.v.01|wish.v.02	
near end of	9	about.r.07	
designed	9	plan.v.03	designed
lying against	9	be.v.01|lie.v.01	
sleeps on	9	along.r.01	
is near	9	be.v.01	near
laying in front of	9	put.v.01	
raise	9	raise.v.02	
amongst a	9		amongst
consists of	9	dwell.v.02	
seated around	9	approximately.r.01	
topping on	9	along.r.01|be.v.01	topping on
upright	9		
grooming	9	prepare.v.05	
blowing on	9	along.r.01|be.v.01	
hiking on	9	along.r.01	
on dark	9	along.r.01|be.v.01	
that in	9	be.v.01	that in
coming under	9	arrive.v.01	
and their	9		
blooming next to	9	bloom.v.01	
key on	9		key on
portion on	9	along.r.01	
on display on	9	along.r.01	on display on
racing down	9	down.r.01	racing down
moving out of	9	travel.v.01	
on inside of a	9	along.r.01	on inside of
on hill	9	along.r.01	
in palm of	9	in.r.01	
are close to a	9	be.v.01	close to
on side of silver	9		
running under	8	be.v.01|run.v.01	running under
placed near	8	put.v.01	
sunbathing on	8	along.r.01	
extends from	8	run.v.03	
window of	8	be.v.01	window of
just above	8	be.v.01|merely.r.01	
stripe on	8	along.r.01	
drive down	8	down.r.01	drive down
in wall of	8	in.r.01	
set on top of	8	put.v.01	
with a black	8	blacken.v.01	
wrapping	8	wind.v.03	
fitted on	8	along.r.01|be.v.01	
of left	8	leave.v.01	
has up	8	have.v.01	
going up to	8	become.v.01	going up to
inserted into	8	insert.v.02	
black and	8	be.v.01	black and
crashing onto	8	be.v.01|crash.v.01	crashing onto
are to left of	8	be.v.01	to left of
has on white	8	have.v.01	
getting out of	8	get_down.v.07	
alongside of	8	be.v.01	
built above	8		
has crossed	8	have.v.01	
leading down to	8	be.v.01|lead.v.01	leading down to
set with	8	put.v.01	
throwing off	8	hold.v.03	
at corner of	8	be.v.01|corner.v.01	at corner of
on end	8	end.v.01	
of assorted	8	classify.v.01	
sitting along	8	sit.v.01	
parked near a	8	about.r.07	parked near
dotted with	8	scatter.v.03	
row of	8		
into a	8		into
on dogs	8	along.r.01|be.v.01	on dogs
opening h	8	open.v.01	
on brown building facing	8		
down a	8	down.r.01	down
grazing behind	8	behind.r.01	
taking photo with	8	be.v.01|necessitate.v.01	
go to	8	become.v.01	
tree by gold	8		
in yellow	8	in.r.01	
grown on	8	be.v.01|turn.v.07	
sitting under a	8	sit.v.01	sitting under
piled into	8	stack.v.02	piled into
has attached	8	have.v.01	
has few	8	have.v.01	
sheltering	8	be.v.01|shelter.v.01	sheltering
foot	8	be.v.01|foot.v.01	foot
jumping above	8	be.v.01|jump.v.01	
going up a	8	be.v.01|become.v.01	going up
ear of a	8		ear of
brown in	8	be.v.01|in.r.01	brown in
giving a	8	be.v.01|give.v.01	giving
wearing purple	8	wear.v.01	
leaves on	8	leave.v.01	leaves on
leading to a	8	be.v.01|lead.v.01	leading to
shaving	8	be.v.01|shave.v.01	
docked near	8	about.r.07	
are white	8	be.v.01	white
person standing	8		
bare of	8	be.v.01|publicize.v.01	
lifted to	8	be.v.01|raise.v.02	
built into a	8	construct.v.01	built into
shorts are	8	be.v.01	shorts
sitting down at	8	sit.v.01	
shade	8	shade.v.02	
people are	8	be.v.01	people
to left in	8		
at top of a	8	exceed.v.02	at top of
sitting a	8	sit.v.01	sitting
holding their	8	have.v.01	holding their
of food on	8	along.r.01	
sticks out	8	stay.v.02	
city	8		
palm	8	handle.v.04	
sits in front of	8	sit.v.01	
thrown on	8	hold.v.03	
blue and	8	be.v.01	blue and
are sticking out of	8	be.v.01	sticking out of
apple	8		
separate	8	be.v.01|divide.v.01	
corner of	8	corner.v.01	corner of
heading	8	head.v.02	
by video	8		
wearing a striped	8	be.v.01|wear.v.01	
on middle	8	along.r.01	
over her	8	over.r.01	
and silver	8		
sign on a	8	along.r.01	sign on
up on a	8	up.r.01	up on
stacked on a	8	along.r.01	stacked on
hat on	8	along.r.01	hat on
lift	8	raise.v.02	
section	8		
drives down	8	down.r.01	drives down
holding with	8	have.v.01	
flowing from	8	be.v.01|run.v.06	
plugged in to	8	in.r.01	
staring	8	be.v.01|gaze.v.01	
raised above	8	raise.v.02	
bordered by	8	by.r.01	bordered by
with number	8	total.v.01	
steps on	8	along.r.01	
sticking out on	8	along.r.01	
provides	8	supply.v.01	
cup	8	cup.v.01	
waves	8	beckon.v.01	waves
provide	8	supply.v.01	
melted in	8	be.v.01|in.r.01	
letters	8	letter.v.01	letters
riding behind	8	be.v.01|depend_on.v.01	
grows next to	8	turn.v.07	grows next to
bed	8	go_to_bed.v.01	bed
stands over	8	stand.v.01	stands over
descending	8	be.v.01|descend.v.01	descending
stretched	8	be.v.01|stretch.v.01	
loves	8	love.v.01	
going off	8	become.v.01	
wait	8	wait.v.01	
signaling	8	be.v.01|bespeak.v.01	
looks to	8	look.v.02	
wears an	8	wear.v.01	wears
in side	8	in.r.01	in side
speeding down	8	be.v.01|down.r.01	
has curly	8	have.v.01	
with gold	8		
far away from	8	away.r.01|be.v.01	
sold in	8	sell.v.01	
secured with	8	be.v.01|guarantee.v.02	secured with
biking on	8	along.r.01	
hang above	8	hang.v.01	
watching over	8	watch.v.01	
cats	8	be.v.01|vomit.v.01	
checking out	8	be.v.01|see.v.10	
with hanging	8	hang.v.01	
thick	8	be.v.01	
are standing near	8	be.v.01	standing near
to play	8	play.v.01	
brushes	8	brush.v.04	
longer than	8	be.v.01|longer.r.01	
chasing a	8	be.v.01|chase.v.01	chasing
examines	8	analyze.v.01	
been	8	be.v.01	
pieces of	8	assemble.v.01	
sauce	8	be.v.01	
down center of	8	down.r.01	
plaid	8		
standing at edge of	8	stand.v.01	
end	8	end.v.01	
powers	8	power.v.01	
tower	8	loom.v.02	
keeping in	8	keep.v.01	
straddling	8	straddle.v.01	
come from	8	arrive.v.01	
tracks	8	traverse.v.01	
baked inside	8	inside.r.01	
folded in	8	be.v.01|close_up.v.01	folded in
pouring out of	8	away.r.02|be.v.01	
running off	8	be.v.01|run.v.01	
lid	8	be.v.01	
monitor	8	be.v.01|monitor.v.01	
grows	8	turn.v.07	
hind	8		
frying	8	fry.v.01	
forming on	8	along.r.01|be.v.01	
framed	8	frame.v.04	
obscures	8	obscure.v.05	
oven	8		
lifting up	8	be.v.01|up.r.01	lifting up
riding with	8	be.v.01|depend_on.v.01	riding with
slung over	8	over.r.01	slung over
kicks up	8	up.r.01	
sits in a	8	sit.v.01	sits in
letting in	8	let.v.01	
sipping	8	be.v.01|sip.v.01	sipping
screwed in	8	in.r.01	
cuts through	8	reduce.v.01	
little	8	little.r.01	
pitched on	8	along.r.01	
displayed next to	8	expose.v.03	
phone	8	call.v.03	phone
wearing tan	8	be.v.01|wear.v.01	
glowing	8	burn.v.02	
leaping for	8	jump.v.01	leaping for
skies	8	flip.v.06	
edged in	8	in.r.01	
waving at	8	beckon.v.01	
spreads	8	spread.v.01	
running by	8	be.v.01|run.v.01	
cilantro on top	8	be.v.01	
stand next to	8	stand.v.01	
leaving behind	8	leave.v.01	leaving behind
pasted to	8	glue.v.01	
ties	8	tie.v.01	
walking with an	8	be.v.01|walk.v.01	walking with
hanging outside	8	hang.v.01	hanging outside
leads into	8	lead.v.01	
of a white	8	whiten.v.01	
curled under	8	curl.v.01	
has its	8	have.v.01	
created	8	make.v.03	created
kneeling behind	8	be.v.01|behind.r.01	kneeling behind
time	8	be.v.01|clock.v.01	
on planes	8	along.r.01	
has big	8	have.v.01	
body	8	be.v.01|body.v.01	body
paddling through	8	through.r.01	
posing with a	8	be.v.01|put.v.01	posing with
glazed	8	glaze.v.01	
sits by	8	sit.v.01	sits by
has bent	8	have.v.01	
comprised of	8	constitute.v.01	
piled in front of	8	in.r.01	
ob	8		
looking down on	8	look.v.02	looking down on
hooked up to	8	be.v.01|up.r.01	
headed	8	be.v.01|head.v.02	
without a	8		without
are covered by	8	be.v.01	covered by
pointed towards	8	be.v.01|indicate.v.02	
of yellow	8	yellow.v.01	
chairs are	8	be.v.01	chairs
installing	8	install.v.01	
having fun in a	8	be.v.01	having fun in
of tall	8		
plays for	8	play.v.01	
laying inside	8	be.v.01|put.v.01	
eye of a	8	eye.v.01	eye of
missing a	8	be.v.01|miss.v.06	missing
reclined on	8	along.r.01|be.v.01	
are mixed with	8	be.v.01	mixed with
fed by	8	feed.v.01	
outlined in	8	be.v.01|in.r.01	
taken by	8	be.v.01|necessitate.v.01	
lights on	8	along.r.01	
attempting to catch	8	try.v.01	
wearing an orange	8	be.v.01|wear.v.01	
mounted below	8	be.v.01|climb.v.01	
moving towards	8	be.v.01|travel.v.01	
painted on top of	8	along.r.01|be.v.01	painted on top of
coming onto	8	arrive.v.01|be.v.01	
clear and	8	be.v.01|gain.v.08	
to an	8		to
smiling on	8	be.v.01|smile.v.01	
around an	8	approximately.r.01|be.v.01	around
growing on edge of	8	turn.v.07	growing on edge of
flown in	8	fly.v.01	
are white in	8	be.v.01	white in
cuddling	8	cuddle.v.01	cuddling
sitting down with	8	sit.v.01	
streaming through	8	pour.v.02	
riding near	8	about.r.07	
holding hand of	8	be.v.01|have.v.01|pass.v.05	
grilling	8	grill.v.01	
waiting to catch	8	wait.v.01	waiting to catch
walking next to a	8	be.v.01|walk.v.01	walking next to
doing tricks in	8	make.v.01	
on piece of	8	along.r.01	
mixing	8	blend.v.03	mixing
coming out of a	8	arrive.v.01	coming out of
separate from	8	be.v.01|divide.v.01	
with extended	8	run.v.03	
in its	8	in.r.01	
leading a	8	be.v.01|lead.v.01	leading
jogging on	8	along.r.01	
on cover of	8	along.r.01|be.v.01	
eating a personal	8	eat.v.01	
paint	8	paint.v.01	
trailing behind	8	chase.v.01	
spear	8	spear.v.01	
on exterior of	8	along.r.01	on exterior of
on legs of	8	along.r.01	on legs of
waving on	8	along.r.01|be.v.01	
hanging on to	8	along.r.01|be.v.01	hanging on to
print on	8	along.r.01	print on
protruding through	8	stick_out.v.01	
has on it some	8	have.v.01	
shaking off	8	away.r.01|be.v.01	
flying in the	8		flying in
training	8	train.v.01	training
hooked on	8	along.r.01	hooked on
binding	8	adhere.v.06|be.v.01	
decorated on	8	along.r.01	
along back of	8	back.r.01	
resting next to	8	stay.v.01	
as a	8	equally.r.01	as
on edge of a	8	along.r.01|be.v.01	on edge of
o frot of	8		
walking off	8	walk.v.01	
goes past	8	become.v.01	
bolted in	8	be.v.01|in.r.01	
together in a	8	together.r.01	together in
in parking	8	in.r.01	
reflects off	8	away.r.01	
written with	8	be.v.01|write.v.01	
are out	8	be.v.01	out
measuring	8	measure.v.04	
installed on a	8	install.v.01	installed on
planted next to	8	establish.v.02	
on dirt	8	along.r.01|be.v.01	
littered on	8	along.r.01	
imbedded in	8	in.r.01	
of ketchup on	8	along.r.01	
blue in	8	be.v.01|in.r.01	
on tennis players	8	along.r.01	
dribbling	8	trickle.v.01	
sharing a	8	share.v.01	sharing
standing gin	8	be.v.01	
in a dark	8	in.r.01	
feature	8	have.v.02	
a patch of	8	be.v.01	patch of
reveals	8	unwrap.v.02	reveals
leaning toward	8	be.v.01|tend.v.01	leaning toward
piled on top	8	along.r.01	
lying between	8	be.v.01|lie.v.01	
are ten	8		ten
in field	8	in.r.01	in field
a part of a	8	be.v.01	part of
playing a game with	8	play.v.01	
being held up	8	be.v.01	
lined up with	8	up.r.01	
choosing	8	choose.v.01	
doing trick on a	8	make.v.01	doing trick on
are not in	8	be.v.01	not in
lay in	8	put.v.01	
walking along a	8	walk.v.01	walking along
polar	8		
galloping over	8	be.v.01	
crisscrossing	8	crisscross.v.01	crisscrossing
going toward	8	become.v.01	
wrapped inside	8		
laid in	8		laid in
piled next to	8	next.r.01	
of a polar	8		
taxiing in front of	8		
legs of a	8		legs of
tray of fruit and	8		
of striped patterned	8		
wrestling	8	writhe.v.01	
married	8	marry.v.01	
black bears	8		
driving on paved	8		
herded	8		
are leaves on a	8		leaves on
glasses	7	glaze.v.02	
have black	7	have.v.01	
it	7	be.v.01	
can be seen on	7	be.v.01	
cast over	7	roll.v.12	
in window of	7	be.v.01|in.r.01	
on pile of	7	along.r.01|be.v.01	
coming thru	7	arrive.v.01|be.v.01	
fixed on	7	along.r.01|be.v.01	
framing	7	frame.v.04	
driving under	7	drive.v.01	
with a glass	7	glaze.v.02	
spraying out of	7	away.r.02|be.v.01	
mowing	7	mow.v.01	
lady	7	be.v.01	
hangs on a	7	along.r.01	hangs on
hanging beside	7	be.v.01|hang.v.01	
holds onto	7	have.v.01	holds onto
hung	7	hang.v.01	
lying beside	7	be.v.01|lie.v.01	
right to	7	be.v.01|properly.r.01	
with multiple	7		
packing	7	be.v.01|carry.v.02	packing
stand near	7	about.r.07	
perched on top of	7	along.r.01|be.v.01	
on second	7	along.r.01|be.v.01	
pinned with	7	trap.v.04	
growing up a	7	up.r.01	growing up
wandering	7	roll.v.12	
enclosed in	7	be.v.01|insert.v.02	enclosed in
lettering on	7	along.r.01	
hung on a	7	along.r.01	hung on
hanging on back of	7	back.r.01	hanging on back of
on open	7	open.v.01	
sightseeing at	7		
lean on	7	tend.v.01	lean on
name of	7	be.v.01|name.v.01	
down from	7	down.r.01	
hanging on front of	7	along.r.01	
parked behind a	7	be.v.01|behind.r.01	parked behind
with several	7		
on chest of	7	along.r.01|be.v.01	
extended on	7	run.v.03	
boat in	7	in.r.01	
nestled in	7	in.r.01	
located above	7	above.r.01	
behind other	7	behind.r.01	
signs	7	sign.v.02	signs
are driving on	7	be.v.01	driving on
chair that	7	be.v.01	
wearing a baseball	7	be.v.01|wear.v.01	
built onto	7	construct.v.01	
sitting in front	7	be.v.01|sit.v.01	sitting in front
resembling	7	resemble.v.01	
down to	7	be.v.01|down.r.01	
cascading down	7	be.v.01|down.r.01	
growing among	7	turn.v.07	
comes through	7	arrive.v.01	
on top of the	7		on top of
positioned on	7	along.r.01|be.v.01|put.v.01	positioned on
exits	7	die.v.01	
casted by	7	be.v.01|roll.v.12	
of brick	7		
arms are	7	be.v.01	arms
grass green	7	be.v.01	
many	7	be.v.01	many
tire	7	tire.v.02	
posted to	7	mail.v.02	
suit	7	suit.v.01	
side by	7	be.v.01|by.r.01	
has foot on	7	have.v.01	
in a pink	7	be.v.01|in.r.01	
of small	7		
out to	7	away.r.02	
clipped on	7	along.r.01|be.v.01	
in both	7	be.v.01|in.r.01	
disturbed by	7	by.r.01	
double	7	be.v.01|duplicate.v.01	
of a red	7		
in a green	7	be.v.01|in.r.01	
talking on her	7	be.v.01|talk.v.01	
strapped into	7	flog.v.01	
in a piece of	7		
lifted up to	7	up.r.01	
building in a	7		building in
iron	7	iron.v.01	
on pair of	7	along.r.01	
right next to	7	be.v.01|properly.r.01	right next to
on top of mans	7	along.r.01	
pointing toward	7	indicate.v.02	
walking behind a	7	walk.v.01	walking behind
in mid	7	in.r.01	
seated at a	7	seat.v.01	seated at
loads	7	load.v.01	
